ts,open,high,low,close
2025-10-18T10:34:06.153260+00:00,39000.000000,39024.562153,38971.588231,38960.320777
2025-10-18T10:35:06.153260+00:00,38960.320777,38975.757770,38947.241743,38939.593071
2025-10-18T10:36:06.153260+00:00,38939.593071,38957.603652,38921.076014,38913.271934
2025-10-18T10:37:06.153260+00:00,38913.271934,38921.151317,38906.653384,38923.138202
2025-10-18T10:38:06.153260+00:00,38923.138202,38986.724297,38858.184377,38817.527629
2025-10-18T10:39:06.153260+00:00,38817.527629,38823.831604,38812.124500,38811.315471
2025-10-18T10:40:06.153260+00:00,38811.315471,38853.567538,38766.594825,38741.598521
2025-10-18T10:41:06.153260+00:00,38741.598521,38760.401601,38721.071570,38768.521420
2025-10-18T10:42:06.153260+00:00,38768.521420,38777.921559,38758.792546,38781.619666
2025-10-18T10:43:06.153260+00:00,38781.619666,38812.294288,38750.934673,38737.447058
2025-10-18T10:44:06.153260+00:00,38737.447058,38754.223364,38725.197620,38757.658045
2025-10-18T10:45:06.153260+00:00,38757.658045,38763.509765,38751.178860,38750.858479
2025-10-18T10:46:06.153260+00:00,38750.858479,38761.630515,38741.123785,38739.957485
2025-10-18T10:47:06.153260+00:00,38739.957485,38744.116338,38735.336269,38743.275353
2025-10-18T10:48:06.153260+00:00,38743.275353,38773.917256,38714.053046,38789.062457
2025-10-18T10:49:06.153260+00:00,38789.062457,38807.321415,38770.764924,38811.383894
2025-10-18T10:50:06.153260+00:00,38811.383894,38842.816431,38779.938129,38766.479173
2025-10-18T10:51:06.153260+00:00,38766.479173,38797.440456,38735.669961,38718.384449
2025-10-18T10:52:06.153260+00:00,38718.384449,38726.424023,38711.750061,38710.902582
2025-10-18T10:53:06.153260+00:00,38710.902582,38741.663244,38679.106514,38756.894933
2025-10-18T10:54:06.153260+00:00,38756.894933,38762.450389,38751.113940,38751.141338
2025-10-18T10:55:06.153260+00:00,38751.141338,38767.832470,38730.866421,38776.758338
2025-10-18T10:56:06.153260+00:00,38776.758338,38779.210791,38771.060931,38780.425896
2025-10-18T10:57:06.153260+00:00,38780.425896,38790.778783,38770.059642,38794.468398
2025-10-18T10:58:06.153260+00:00,38794.468398,38807.308320,38781.910675,38777.611716
2025-10-18T10:59:06.153260+00:00,38777.611716,38795.594088,38757.623313,38750.837025
2025-10-18T11:00:06.153260+00:00,38750.837025,38789.814504,38711.945173,38808.279753
2025-10-18T11:01:06.153260+00:00,38808.279753,38823.100493,38791.153673,38830.922047
2025-10-18T11:02:06.153260+00:00,38830.922047,38840.827061,38821.554513,38846.239538
2025-10-18T11:03:06.153260+00:00,38846.239538,38849.178375,38844.907150,38846.587771
2025-10-18T11:04:06.153260+00:00,38846.587771,38872.747984,38821.243681,38808.672664
2025-10-18T11:05:06.153260+00:00,38808.672664,38841.710652,38778.150997,38856.312052
2025-10-18T11:06:06.153260+00:00,38856.312052,38860.549247,38852.780873,38856.296955
2025-10-18T11:07:06.153260+00:00,38856.296955,38881.603625,38830.739345,38894.374745
2025-10-18T11:08:06.153260+00:00,38894.374745,38922.043040,38864.854921,38850.191947
2025-10-18T11:09:06.153260+00:00,38850.191947,38888.625818,38811.950854,38791.521639
2025-10-18T11:10:06.153260+00:00,38791.521639,38797.199893,38784.686563,38795.805007
2025-10-18T11:11:06.153260+00:00,38795.805007,38818.658188,38775.618749,38762.433551
2025-10-18T11:12:06.153260+00:00,38762.433551,38777.901770,38745.707418,38785.574280
2025-10-18T11:13:06.153260+00:00,38785.574280,38801.187978,38768.781848,38761.158698
2025-10-18T11:14:06.153260+00:00,38761.158698,38774.273591,38745.028545,38741.477942
2025-10-18T11:15:06.153260+00:00,38741.477942,38745.991885,38738.368017,38744.895548
2025-10-18T11:16:06.153260+00:00,38744.895548,38764.528836,38725.180340,38770.593791
2025-10-18T11:17:06.153260+00:00,38770.593791,38774.421668,38763.705650,38766.309545
2025-10-18T11:18:06.153260+00:00,38766.309545,38784.533575,38746.760000,38794.049073
2025-10-18T11:19:06.153260+00:00,38794.049073,38818.291112,38769.992811,38758.744179
2025-10-18T11:20:06.153260+00:00,38758.744179,38762.091711,38751.989371,38754.583495
2025-10-18T11:21:06.153260+00:00,38754.583495,38763.736254,38742.214994,38741.562579
2025-10-18T11:22:06.153260+00:00,38741.562579,38775.696733,38708.559302,38792.298857
2025-10-18T11:23:06.153260+00:00,38792.298857,38811.282338,38773.558314,38816.664339
2025-10-18T11:24:06.153260+00:00,38816.664339,38843.653372,38785.885023,38773.342217
2025-10-18T11:25:06.153260+00:00,38773.342217,38792.333432,38753.914294,38746.343895
2025-10-18T11:26:06.153260+00:00,38746.343895,38752.021714,38736.622719,38754.297046
2025-10-18T11:27:06.153260+00:00,38754.297046,38765.133445,38740.981799,38736.842859
2025-10-18T11:28:06.153260+00:00,38736.842859,38789.899253,38682.493057,38824.991648
2025-10-18T11:29:06.153260+00:00,38824.991648,38830.865134,38815.088448,38834.372193
2025-10-18T11:30:06.153260+00:00,38834.372193,38853.579990,38813.101992,38804.824119
2025-10-18T11:31:06.153260+00:00,38804.824119,38836.015052,38776.531713,38761.117277
